Store,Date,Product,Weekly_Sales,inventory level,Temperature,Past promotion of product in lac,demand forecast
3,02/03/2012,Aromatherapy essential oil diffuser,1935299.94,0,55.21,3.36,7.06
2,02/10/2012,Resistance band set,2103322.68,1,46.98,3.409,7.06
1,17-02-2012,Ceramic plant pot with saucer,2196688.46,0,43.82,3.51,7.06
4,24-02-2012,Insulated lunch box,1861802.70,0,54.63,3.555,7.06
5,03/02/2012,Himalayan salt lamp,1952555.66,0,58.79,3.63,7.06
2,03/09/2012,Reusable silicone food storage bags,1937628.26,0,57.11,3.669,7.06
3,16-03-2012,Handwoven rattan basket,1976082.13,0,63.68,3.734,7.06
1,23-03-2012,Yoga mat with carrying strap,1790439.16,0,64.01,3.787,7.06
4,30-03-2012,Stainless steel french press coffee maker,1857480.84,0,66.83,3.845,7.06
5,04/06/2012,Memory foam travel neck pillow,2129035.91,0,68.43,3.891,6.89
2,13-04-2012,Glass meal prep containers set,1935869.10,0,68.08,3.891,6.89
3,20-04-2012,Vegan leather wallet,1847344.45,0,65.69,3.877,6.89
2,27-04-2012,LED desk lamp with USB charging port,1764133.09,0,67.20,3.814,6.89
1,05/04/2012,Blueberry scented candle,1923957.09,0,76.73,3.749,6.89
4,05/11/2012,Stainless steel water bottle,1917520.99,0,73.87,3.688,6.89
5,18-05-2012,Leather messenger bag,2000940.67,0,71.27,3.63,6.89
2,25-05-2012,Organic coconut oil,1912791.09,0,78.19,3.561,6.89
3,06/01/2012,Bluetooth wireless earbuds,1910092.37,0,78.38,3.501,6.89
1,06/08/2012,Floral patterned throw pillow,2010216.49,0,78.69,3.452,6.89
4,15-06-2012,Bamboo cutting board set,1962924.30,0,80.56,3.393,6.89
5,22-06-2012,Aromatherapy essential oil diffuser,1887733.21,0,81.04,3.346,6.89
2,29-06-2012,Resistance band set,1881046.12,0,86.32,3.286,6.89
3,07/06/2012,Ceramic plant pot with saucer,2041507.40,0,84.20,3.227,6.57
2,13-07-2012,Insulated lunch box,1830075.13,0,80.17,3.256,6.57
1,20-07-2012,Himalayan salt lamp,1819666.46,0,83.23,3.311,6.57
4,27-07-2012,Reusable silicone food storage bags,1757923.88,0,86.37,3.407,6.57
5,08/03/2012,Handwoven rattan basket,1946104.64,0,90.22,3.417,6.57
2,08/10/2012,Yoga mat with carrying strap,1866719.96,0,88.55,3.494,6.57
3,17-08-2012,Stainless steel french press coffee maker,1928016.01,0,84.79,3.571,6.57
1,24-08-2012,Memory foam travel neck pillow,1876788.15,0,76.91,3.62,6.57
4,31-08-2012,Glass meal prep containers set,1947083.30,0,82.64,3.638,6.57
5,09/07/2012,Vegan leather wallet,1898777.07,1,87.65,3.73,6.57
2,14-09-2012,LED desk lamp with USB charging port,1814806.63,0,75.88,3.717,6.57
3,21-09-2012,Blueberry scented candle,1829415.67,0,71.09,3.721,6.57
2,28-09-2012,Stainless steel water bottle,1746470.56,0,79.45,3.666,6.57
1,10/05/2012,Leather messenger bag,1998321.04,0,70.27,3.617,6.17
4,10/12/2012,Organic coconut oil,1900745.13,0,60.97,3.601,6.17
5,19-10-2012,Bluetooth wireless earbuds,1847990.41,0,68.08,3.594,6.17
2,26-10-2012,Floral patterned throw pillow,1834458.35,0,69.79,3.506,6.17
3,02/05/2010,Bamboo cutting board set,461622.22,0,45.71,2.572,7.37
1,02/12/2010,Aromatherapy essential oil diffuser,420728.96,1,47.93,2.548,7.37
4,19-02-2010,Resistance band set,421642.19,0,47.07,2.514,7.37
5,26-02-2010,Ceramic plant pot with saucer,407204.86,0,52.05,2.561,7.37
2,03/05/2010,Insulated lunch box,415202.04,0,53.04,2.625,7.37
3,03/12/2010,Himalayan salt lamp,384200.69,0,63.08,2.667,7.37
2,19-03-2010,Reusable silicone food storage bags,375328.59,0,60.42,2.72,7.37
1,26-03-2010,Handwoven rattan basket,359949.27,0,57.06,2.732,7.37
4,04/02/2010,Yoga mat with carrying strap,423294.40,0,65.56,2.719,7.34
5,04/09/2010,Stainless steel french press coffee maker,415870.28,0,68.00,2.77,7.34
2,16-04-2010,Memory foam travel neck pillow,354993.26,0,66.98,2.808,7.34
3,23-04-2010,Glass meal prep containers set,339976.65,0,67.87,2.795,7.34
1,30-04-2010,Vegan leather wallet,361248.39,0,70.24,2.78,7.34
4,05/07/2010,LED desk lamp with USB charging port,399323.86,0,73.47,2.835,7.34
5,14-05-2010,Blueberry scented candle,384357.94,0,77.18,2.854,7.34
2,21-05-2010,Stainless steel water bottle,343763.17,0,75.81,2.826,7.34
3,28-05-2010,Leather messenger bag,350089.23,0,78.60,2.759,7.34
2,06/04/2010,Organic coconut oil,396968.80,0,78.53,2.705,7.34
1,06/11/2010,Bluetooth wireless earbuds,355017.09,0,82.10,2.668,7.34
4,18-06-2010,Floral patterned throw pillow,364076.85,0,83.52,2.637,7.34
5,25-06-2010,Bamboo cutting board set,357346.48,0,83.79,2.653,7.34
2,07/02/2010,Aromatherapy essential oil diffuser,381151.72,0,82.20,2.669,7.35
3,07/09/2010,Resistance band set,349214.18,0,81.75,2.642,7.35
1,16-07-2010,Ceramic plant pot with saucer,352728.78,0,84.32,2.623,7.35
4,23-07-2010,Insulated lunch box,352864.49,0,83.32,2.608,7.35
5,30-07-2010,Himalayan salt lamp,347955.05,0,82.04,2.64,7.35
2,08/06/2010,Reusable silicone food storage bags,402635.76,0,85.13,2.627,7.35
3,13-08-2010,Handwoven rattan basket,339597.38,0,86.74,2.692,7.35
2,20-08-2010,Yoga mat with carrying strap,351728.21,0,88.02,2.664,7.35
1,27-08-2010,Stainless steel french press coffee maker,362134.09,0,86.15,2.619,7.35
4,09/03/2010,Memory foam travel neck pillow,366473.97,0,84.16,2.577,7.35
5,09/10/2010,Glass meal prep containers set,352260.97,1,80.84,2.565,7.35
2,17-09-2010,Vegan leather wallet,363064.64,0,82.36,2.582,7.35
3,24-09-2010,LED desk lamp with USB charging port,355626.87,0,76.90,2.624,7.35
2,10/01/2010,Blueberry scented candle,358784.10,0,73.60,2.603,7.56
1,10/08/2010,Stainless steel water bottle,395107.35,0,66.99,2.633,7.56
4,15-10-2010,Leather messenger bag,345584.39,0,69.71,2.72,7.56
5,22-10-2010,Organic coconut oil,348895.98,0,71.64,2.725,7.56
2,29-10-2010,Bluetooth wireless earbuds,348591.74,0,72.04,2.716,7.56
3,11/05/2010,Floral patterned throw pillow,423175.56,0,62.94,2.689,7.56
1,11/12/2010,Bamboo cutting board set,386635.03,0,62.79,2.728,7.56
4,19-11-2010,Aromatherapy essential oil diffuser,372545.32,0,57.72,2.771,7.56
5,26-11-2010,Resistance band set,565567.84,1,68.71,2.735,7.56
2,12/03/2010,Ceramic plant pot with saucer,476420.77,0,53.76,2.708,7.56
3,12/10/2010,Insulated lunch box,467642.03,0,51.13,2.843,7.56
2,17-12-2010,Himalayan salt lamp,498159.39,0,52.20,2.869,7.56
1,24-12-2010,Reusable silicone food storage bags,605990.41,0,57.16,2.886,7.56
4,31-12-2010,Handwoven rattan basket,382677.76,1,53.20,2.943,7.56
5,01/07/2011,Yoga mat with carrying strap,378241.34,0,53.35,2.976,7.55
2,14-01-2011,Stainless steel french press coffee maker,381061.10,0,44.76,2.983,7.55
3,21-01-2011,Memory foam travel neck pillow,350876.70,0,50.74,3.016,7.55
1,28-01-2011,Glass meal prep containers set,364866.24,0,48.71,3.01,7.55
4,02/04/2011,Vegan leather wallet,438516.53,0,45.95,2.989,7.55
5,02/11/2011,LED desk lamp with USB charging port,430526.21,1,43.57,3.022,7.55
2,18-02-2011,Blueberry scented candle,432782.10,0,61.58,3.045,7.55
3,25-02-2011,Stainless steel water bottle,397211.19,0,67.40,3.065,7.55
2,03/04/2011,Leather messenger bag,437084.51,0,65.11,3.288,7.55
1,03/11/2011,Organic coconut oil,404753.30,0,61.29,3.459,7.55
4,18-03-2011,Bluetooth wireless earbuds,392109.51,0,69.47,3.488,7.55
5,25-03-2011,Floral patterned throw pillow,380683.67,0,72.94,3.473,7.55
2,04/01/2011,Bamboo cutting board set,374556.08,0,68.76,3.524,7.57
3,04/08/2011,Aromatherapy essential oil diffuser,384075.31,0,72.55,3.622,7.57
1,15-04-2011,Resistance band set,366250.69,0,75.88,3.743,7.57
4,22-04-2011,Ceramic plant pot with saucer,391860.04,0,76.91,3.807,7.57
5,29-04-2011,Insulated lunch box,367405.40,0,78.69,3.81,7.57
2,05/06/2011,Himalayan salt lamp,413042.12,0,69.45,3.906,7.57
3,13-05-2011,Reusable silicone food storage bags,386312.68,0,79.87,3.899,7.57
2,20-05-2011,Handwoven rattan basket,364603.13,0,75.79,3.907,7.57
1,27-05-2011,Yoga mat with carrying strap,369350.60,0,84.41,3.786,7.57
4,06/03/2011,Stainless steel french press coffee maker,394507.84,0,84.29,3.699,7.57
5,06/10/2011,Memory foam travel neck pillow,391638.75,0,84.84,3.648,7.57
2,17-06-2011,Glass meal prep containers set,403423.34,0,86.96,3.637,7.57
3,24-06-2011,Vegan leather wallet,385520.71,0,84.94,3.594,7.57
1,07/01/2011,LED desk lamp with USB charging port,368962.72,0,85.10,3.524,7.57
4,07/08/2011,Blueberry scented candle,395146.24,0,85.38,3.48,7.57
5,15-07-2011,Stainless steel water bottle,373454.33,0,87.14,3.575,7.57
2,22-07-2011,Leather messenger bag,360617.37,0,86.19,3.651,7.57
3,29-07-2011,Organic coconut oil,345381.29,0,88.07,3.682,7.57
2,08/05/2011,Bluetooth wireless earbuds,409981.25,0,88.45,3.684,7.57
1,08/12/2011,Floral patterned throw pillow,380376.85,0,88.88,3.638,7.57
4,19-08-2011,Bamboo cutting board set,379716.91,0,88.44,3.554,7.57
5,26-08-2011,Aromatherapy essential oil diffuser,366367.55,0,87.67,3.523,7.57
2,09/02/2011,Resistance band set,375988.69,0,89.12,3.533,7.57
3,09/09/2011,Ceramic plant pot with saucer,377347.49,1,81.72,3.546,7.57
1,16-09-2011,Insulated lunch box,375629.51,0,83.63,3.526,7.57
4,23-09-2011,Himalayan salt lamp,365248.94,0,80.19,3.467,7.57
5,30-09-2011,Reusable silicone food storage bags,368477.93,0,82.58,3.355,7.57
2,10/07/2011,Handwoven rattan basket,403342.40,0,75.54,3.285,7.20
3,14-10-2011,Yoga mat with carrying strap,368282.57,0,73.75,3.274,7.20
2,21-10-2011,Stainless steel french press coffee maker,394976.36,0,69.03,3.353,7.20
1,28-10-2011,Memory foam travel neck pillow,389540.62,0,71.04,3.372,7.20
4,11/04/2011,Glass meal prep containers set,459443.22,0,59.31,3.332,7.20
5,11/11/2011,Vegan leather wallet,407764.25,0,61.70,3.297,7.20
2,18-11-2011,LED desk lamp with USB charging port,398838.97,0,63.91,3.308,7.20
3,25-11-2011,Blueberry scented candle,556925.19,1,68.00,3.236,7.20
1,12/02/2011,Stainless steel water bottle,472511.32,0,54.97,3.172,7.20
4,12/09/2011,Leather messenger bag,468772.80,0,49.26,3.158,7.20
5,16-12-2011,Organic coconut oil,510747.62,0,57.95,3.159,7.20
2,23-12-2011,Bluetooth wireless earbuds,551221.21,0,53.41,3.112,7.20
3,30-12-2011,Floral patterned throw pillow,410553.88,1,48.29,3.129,7.20
2,01/06/2012,Bamboo cutting board set,398178.21,0,52.42,3.157,6.83
1,13-01-2012,Aromatherapy essential oil diffuser,367438.62,0,51.86,3.261,6.83
4,20-01-2012,Resistance band set,365818.61,0,56.20,3.268,6.83
5,27-01-2012,Ceramic plant pot with saucer,349518.10,0,58.06,3.29,6.83
2,02/03/2012,Insulated lunch box,424960.66,0,59.33,3.36,6.83
3,02/10/2012,Himalayan salt lamp,473292.47,1,51.65,3.409,6.83
1,17-02-2012,Reusable silicone food storage bags,475591.08,0,52.39,3.51,6.83
4,24-02-2012,Handwoven rattan basket,418925.47,0,60.12,3.555,6.83
5,03/02/2012,Yoga mat with carrying strap,469752.56,0,61.65,3.63,6.83
2,03/09/2012,Stainless steel french press coffee maker,445162.05,0,60.71,3.669,6.83
3,16-03-2012,Memory foam travel neck pillow,411775.80,0,64.00,3.734,6.83
2,23-03-2012,Glass meal prep containers set,413907.25,0,66.53,3.787,6.83
1,30-03-2012,Vegan leather wallet,407488.84,0,69.36,3.845,6.83
4,04/06/2012,LED desk lamp with USB charging port,503232.13,0,73.01,3.891,6.66
5,13-04-2012,Blueberry scented candle,420789.74,0,72.83,3.891,6.66
2,20-04-2012,Stainless steel water bottle,434822.13,0,72.05,3.877,6.66
3,27-04-2012,Leather messenger bag,394616.11,0,73.39,3.814,6.66
1,05/04/2012,Organic coconut oil,439913.57,0,79.51,3.749,6.66
4,05/11/2012,Bluetooth wireless earbuds,431985.36,0,75.19,3.688,6.66
5,18-05-2012,Floral patterned throw pillow,418112.76,0,72.38,3.63,6.66
2,25-05-2012,Bamboo cutting board set,413701.29,0,78.58,3.561,6.66
3,06/01/2012,Aromatherapy essential oil diffuser,432268.53,0,81.55,3.501,6.66
2,06/08/2012,Resistance band set,446336.80,0,81.65,3.452,6.66
1,15-06-2012,Ceramic plant pot with saucer,442074.79,0,84.66,3.393,6.66
4,22-06-2012,Insulated lunch box,419497.95,0,82.70,3.346,6.66
5,29-06-2012,Himalayan salt lamp,422965.33,0,86.42,3.286,6.66
2,07/06/2012,Reusable silicone food storage bags,411206.50,0,83.14,3.227,6.33
3,13-07-2012,Handwoven rattan basket,416913.10,0,82.28,3.256,6.33
1,20-07-2012,Yoga mat with carrying strap,432424.85,0,81.38,3.311,6.33
4,27-07-2012,Stainless steel french press coffee maker,389427.90,0,84.94,3.407,6.33
5,08/03/2012,Memory foam travel neck pillow,419990.29,0,86.55,3.417,6.33
2,08/10/2012,Glass meal prep containers set,391811.60,0,85.85,3.494,6.33
3,17-08-2012,Vegan leather wallet,394918.83,0,87.36,3.571,6.33
2,24-08-2012,LED desk lamp with USB charging port,412449.67,0,83.01,3.62,6.33
1,31-08-2012,Blueberry scented candle,408838.73,0,85.18,3.638,6.33
4,09/07/2012,Stainless steel water bottle,408229.73,1,84.99,3.73,6.33
5,14-09-2012,Leather messenger bag,407589.16,0,78.36,3.717,6.33
2,21-09-2012,Organic coconut oil,414392.09,0,72.78,3.721,6.33
3,28-09-2012,Bluetooth wireless earbuds,389813.02,0,77.46,3.666,6.33
2,10/05/2012,Floral patterned throw pillow,443557.65,0,72.74,3.617,6.03
1,10/12/2012,Bamboo cutting board set,410804.39,0,70.31,3.601,6.03
4,19-10-2012,Aromatherapy essential oil diffuser,424513.08,0,73.44,3.594,6.03
5,26-10-2012,Resistance band set,405432.70,0,74.66,3.506,6.03
2,02/05/2010,Ceramic plant pot with saucer,2135143.87,0,43.76,2.598,8.62
3,02/12/2010,Insulated lunch box,2188307.39,1,28.84,2.573,8.62
1,19-02-2010,Himalayan salt lamp,2049860.26,0,36.45,2.54,8.62
4,26-02-2010,Reusable silicone food storage bags,1925728.84,0,41.36,2.59,8.62
5,03/05/2010,Handwoven rattan basket,1971057.44,0,43.49,2.654,8.62
2,03/12/2010,Yoga mat with carrying strap,1894324.09,0,49.63,2.704,8.62
3,19-03-2010,Stainless steel french press coffee maker,1897429.36,0,55.19,2.743,8.62
2,26-03-2010,Memory foam travel neck pillow,1762539.30,0,39.91,2.752,8.62
1,04/02/2010,Glass meal prep containers set,1979247.12,0,48.77,2.74,7.90
4,04/09/2010,Vegan leather wallet,1818452.72,0,54.16,2.773,7.90
5,16-04-2010,LED desk lamp with USB charging port,1851519.69,0,56.23,2.81,7.90
2,23-04-2010,Blueberry scented candle,1802677.90,0,56.87,2.805,7.90
3,30-04-2010,Stainless steel water bottle,1817273.28,0,53.04,2.787,7.90
1,05/07/2010,Leather messenger bag,2000626.14,0,56.77,2.836,7.90
4,14-05-2010,Organic coconut oil,1875597.28,0,62.35,2.845,7.90
5,21-05-2010,Bluetooth wireless earbuds,1903752.60,0,67.40,2.82,7.90
2,28-05-2010,Floral patterned throw pillow,1857533.70,0,67.73,2.756,7.90
3,06/04/2010,Bamboo cutting board set,1903290.58,0,70.83,2.701,7.90
2,06/11/2010,Aromatherapy essential oil diffuser,1870619.23,0,78.45,2.668,7.90
1,18-06-2010,Resistance band set,1929736.35,0,81.53,2.635,7.90
4,25-06-2010,Ceramic plant pot with saucer,1846651.95,0,81.10,2.654,7.90
5,07/02/2010,Insulated lunch box,1881337.21,0,73.66,2.668,7.37
2,07/09/2010,Himalayan salt lamp,1812208.22,0,80.35,2.637,7.37
3,16-07-2010,Reusable silicone food storage bags,1898427.66,0,78.53,2.621,7.37
1,23-07-2010,Handwoven rattan basket,1848426.78,0,79.78,2.612,7.37
4,30-07-2010,Yoga mat with carrying strap,1796637.61,0,80.70,2.65,7.37
5,08/06/2010,Stainless steel french press coffee maker,1907638.58,0,76.53,2.64,7.37
2,13-08-2010,Memory foam travel neck pillow,2007050.75,0,78.08,2.698,7.37
3,20-08-2010,Glass meal prep containers set,1997181.09,0,78.83,2.671,7.37
2,27-08-2010,Vegan leather wallet,1848403.92,0,74.44,2.621,7.37
1,09/03/2010,LED desk lamp with USB charging port,1935857.58,0,76.80,2.584,7.37
4,09/10/2010,Blueberry scented candle,1865820.81,1,73.54,2.574,7.37
5,17-09-2010,Stainless steel water bottle,1899959.61,0,64.91,2.594,7.37
2,24-09-2010,Leather messenger bag,1810684.68,0,60.96,2.642,7.37
3,10/01/2010,Organic coconut oil,1842821.02,0,63.96,2.619,7.13
1,10/08/2010,Bluetooth wireless earbuds,1951494.85,0,67.73,2.645,7.13
4,15-10-2010,Floral patterned throw pillow,1867345.09,0,62.03,2.732,7.13
5,22-10-2010,Bamboo cutting board set,1927610.06,0,64.17,2.736,7.13
2,29-10-2010,Aromatherapy essential oil diffuser,1933333.00,0,56.94,2.718,7.13
3,11/05/2010,Resistance band set,2013115.79,0,51.60,2.699,7.13
2,11/12/2010,Ceramic plant pot with saucer,1999794.26,0,52.65,2.741,7.13
1,19-11-2010,Insulated lunch box,2097809.40,0,48.05,2.78,7.13
4,26-11-2010,Himalayan salt lamp,2789469.45,1,48.08,2.752,7.13
5,12/03/2010,Reusable silicone food storage bags,2102530.17,0,46.40,2.727,7.13
2,12/10/2010,Handwoven rattan basket,2302504.86,0,42.40,2.86,7.13
3,17-12-2010,Yoga mat with carrying strap,2740057.14,0,46.57,2.884,7.13
1,24-12-2010,Stainless steel french press coffee maker,3526713.39,0,43.21,2.887,7.13
4,31-12-2010,Memory foam travel neck pillow,1794868.74,1,38.09,2.955,7.13
5,01/07/2011,Glass meal prep containers set,1862476.27,0,39.34,2.98,6.51
2,14-01-2011,Vegan leather wallet,1865502.46,0,31.60,2.992,6.51
3,21-01-2011,LED desk lamp with USB charging port,1886393.94,0,38.34,3.017,6.51
2,28-01-2011,Blueberry scented candle,1814240.85,0,40.60,3.022,6.51
1,02/04/2011,Stainless steel water bottle,2119086.04,0,34.61,2.996,6.51
4,02/11/2011,Leather messenger bag,2187847.29,1,33.29,3.033,6.51
5,18-02-2011,Organic coconut oil,2316495.56,0,48.17,3.058,6.51
2,25-02-2011,Bluetooth wireless earbuds,2078094.69,0,49.00,3.087,6.51
3,03/04/2011,Floral patterned throw pillow,2103455.75,0,46.56,3.305,6.51
1,03/11/2011,Bamboo cutting board set,2039818.41,0,50.93,3.461,6.51
4,18-03-2011,Aromatherapy essential oil diffuser,2116475.38,0,51.86,3.495,6.51
5,25-03-2011,Resistance band set,1944164.32,0,59.10,3.48,6.51
2,04/01/2011,Ceramic plant pot with saucer,1900246.47,0,56.99,3.521,5.95
3,04/08/2011,Insulated lunch box,2074953.46,0,62.61,3.605,5.95
2,15-04-2011,Himalayan salt lamp,1960587.76,0,62.34,3.724,5.95
1,22-04-2011,Reusable silicone food storage bags,2220600.76,0,68.80,3.781,5.95
4,29-04-2011,Handwoven rattan basket,1878167.44,0,64.22,3.781,5.95
5,05/06/2011,Yoga mat with carrying strap,2063682.76,0,63.41,3.866,5.95
2,13-05-2011,Stainless steel french press coffee maker,2002362.37,0,70.65,3.872,5.95
3,20-05-2011,Memory foam travel neck pillow,2015563.48,0,70.49,3.881,5.95
1,27-05-2011,Glass meal prep containers set,1986597.95,0,73.65,3.771,5.95
4,06/03/2011,Vegan leather wallet,2065377.15,0,78.26,3.683,5.95
